
B
危 -7.76779664712211D
即 -7.686080172787709D
却 -8.125742817965834D
卵 -10.248580444209432D
卷 -9.487110072415256D
卸 -10.944241241509694D
卹 -13.900494704089898D
卻 -8.125742817965834D
卿 -12.297529306161415D
厂 -9.112196834702328D
厄 -10.891941742106845D
厅 -10.447950266044533D
历 -6.547991571030935D
厉 -8.654319888880666D
压 -7.880803277999132D
厌 -10.228695779093773D
厍 -14.695424578959786D
厕 -10.524339458459908D
厘 -9.052757918163653D
厙 -14.695424578959786D
厚 -9.383627050855056D
原 -6.105180095929095D
厢 -11.028206621627028D
厥 -17.334481908575043D
厦 -10.075365780477943D
厨 -10.05723418194356D
厩 -14.936586635776674D
厭 -10.228695779093773D
厮 -10.65488272273066D
厲 -8.654319888880666D
去 -7.940570760404475D
县 -7.559623498636096D
叁 -15.388571759519731D
参 -6.577728624586212D
參 -6.577728624586212D
又 -8.14648940026277D
叉 -11.896402599651848D
及 -7.556274172465673D
友 -8.741810255982902D
双 -7.032755293022491D
反 -6.369305421475404D
发 -5.005842133879494D
叔 -9.608710466987093D
取 -7.114907059081968D
受 -7.157195713945762D
变 -6.595024703913541D
叙 -9.406075882394509D
叛 -9.457843447599581D
叠 -11.325668723132448D
叢 -9.507241006822232D
口 -7.442712748993114D
古 -6.752377227263296D
句 -10.324170041267815D
另 -7.748448586824367D
叨 -13.085986666525685D
叩 -10.137795337740695D
只 -6.450077606855091D
叫 -8.165901470847093D
召 -7.701032993318101D
叭 -15.255040366895209D
叮 -10.455126104114605D
可 -5.401045099958085D
台 -7.482498198906032D
叱 -12.304043987182608D
史 -7.9536395566102485D
右 -8.159354292354605D
叵 -13.191347182183511D
叶 -7.7627676500036635D
号 -8.512012336306075D
司 -7.614436540501574D
叹 -10.000152558274507D
叽 -11.725010113390084D
吁 -14.076385370553561D
吃 -8.318090429633795D
各 -5.8218164774106755D
吆 -10.809452250731582D
合 -6.533988385576627D
吉 -8.071454214319855D
吊 -9.70111225889546D
同 -5.911415507773151D
名 -6.552343187993716D
后 -6.515864297485512D
吏 -10.011311190631574D
吐 -9.739094629721071D
向 -7.770039900779255D
吓 -10.240247062650289D
吕 -8.560168950289665D
吖 -17.334481908575043D
吗 -12.75977093007166D
君 -8.55123894483414D
吝 -11.996943828873725D
吞 -9.699178022315628D
吟 -11.391682533448343D
吠 -14.00227739839984D
吡 -12.297529306161415D
否 -8.475402590693513D
吧 -12.90366510973173D
吨 -11.140076517470371D
吩 -9.260455692450982D
含 -8.066910903144588D
听 -7.218628677896585D
吭 -11.236407626408804D
吮 -12.75977093007166D
启 -8.64383973886845D
吱 -11.89206419805325D
吲 -13.620909841870736D
吳 -6.896227621501518D
吴 -6.896227621501518D
吵 -10.480127406320022D
吶 -10.633750799027233D
吸 -7.936417930515912D
